MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Friendship,COMEDY,7.5,4400.0,100
Anora,COMEDY,7.5,196000.0,139
Beetlejuice Beetlejuice,COMEDY,6.6,152000.0,105
Deadpool & Wolverine,COMEDY,7.5,501000.0,128
The Ministry of Ungentlemanly Warfare,COMEDY,6.8,137000.0,122
A Real Pain,COMEDY,7.1,100000.0,90
Paddington in Peru,COMEDY,6.7,24000.0,106
Fight or Flight,COMEDY,6.4,13000.0,102
Moana 2,COMEDY,6.6,106000.0,100
Sonic the Hedgehog 3,COMEDY,6.9,63000.0,110
Freaky Tales,COMEDY,6.3,6100.0,107
The Fall Guy,COMEDY,6.8,224000.0,126
The Uninvited,COMEDY,5.3,529.0,97
Challengers,COMEDY,7.0,157000.0,131
A Different Man,COMEDY,6.9,30000.0,112
Jane Austen Wrecked My Life,COMEDY,6.3,375.0,98
The Friend,COMEDY,6.4,2500.0,119
The Idea of You,COMEDY,6.3,74000.0,115
Borderlands,COMEDY,4.7,50000.0,101
Inside Out 2,COMEDY,7.5,220000.0,96
Saturday Night,COMEDY,6.9,32000.0,109
Y2K,COMEDY,4.8,16000.0,91
Drive-Away Dolls,COMEDY,5.4,24000.0,84
A Nice Indian Boy,COMEDY,7.5,1500.0,96
Kinds of Kindness,COMEDY,6.5,60000.0,164
IF,COMEDY,6.4,59000.0,104
The Day the Earth Blew Up: A Looney Tunes Movie,COMEDY,7.0,5000.0,91
Despicable Me 4,COMEDY,6.2,67000.0,94
Bad Boys: Ride or Die,COMEDY,6.5,101000.0,115
Fly Me to the Moon,COMEDY,6.6,51000.0,132
It's What's Inside,COMEDY,6.6,43000.0,103
Argylle,COMEDY,5.6,93000.0,139
Sacramento,COMEDY,5.9,1500.0,89
My Old Ass,COMEDY,6.9,40000.0,89
Red One,COMEDY,6.3,141000.0,123
Ghostbusters: Frozen Empire,COMEDY,6.1,95000.0,115
Kung Fu Panda 4,COMEDY,6.3,69000.0,94
Kneecap,COMEDY,7.6,19000.0,105
The Killer's Game,COMEDY,5.8,18000.0,104
Riff Raff,COMEDY,5.7,3600.0,103
Superboys of Malegaon,COMEDY,7.7,5000.0,127
The Instigators,COMEDY,6.2,38000.0,101
The Union,COMEDY,5.4,54000.0,107
Snack Shack,COMEDY,7.0,13000.0,112
Miller's Girl,COMEDY,5.2,24000.0,93
Bob Trevino Likes It,COMEDY,7.5,1800.0,101
Nightbitch,COMEDY,5.5,20000.0,99
Wallace & Gromit: Vengeance Most Fowl,COMEDY,7.5,35000.0,82
Mean Girls,COMEDY,5.5,37000.0,112
Sister Midnight,COMEDY,6.5,470.0,107
Thelma,COMEDY,7.0,24000.0,98
Tim Travers & the Time Travelers Paradox,COMEDY,6.8,295.0,95
Bad Shabbos,COMEDY,7.4,218.0,84
How to Make Millions Before Grandma Dies,COMEDY,7.9,16000.0,125
The Wonderful Story of Henry Sugar and Three More,COMEDY,7.1,7400.0,88
Greedy People,COMEDY,6.2,12000.0,112
A Family Affair,COMEDY,5.4,37000.0,111
The Garfield Movie,COMEDY,5.7,25000.0,101
Get Away,COMEDY,5.3,7300.0,86
Ricky Stanicky,COMEDY,6.2,57000.0,113
I Don't Understand You,COMEDY,6.9,93.0,96
The Marching Band,COMEDY,7.4,3500.0,103
Beverly Hills Cop: Axel F,COMEDY,6.4,82000.0,118
Lift,COMEDY,5.5,50000.0,107
Rumours,COMEDY,5.0,4900.0,104
Old Guy,COMEDY,5.2,2700.0,94
