MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Nosferatu,FANTASY,7.2,204000.0,132
Beetlejuice Beetlejuice,FANTASY,6.6,152000.0,105
Wicked,FANTASY,7.5,164000.0,160
The Life of Chuck,FANTASY,7.5,744.0,110
Moana 2,FANTASY,6.6,106000.0,100
Flow,FANTASY,7.9,81000.0,85
Sonic the Hedgehog 3,FANTASY,6.9,63000.0,110
Parthenope,FANTASY,6.6,13000.0,137
Better Man,FANTASY,7.6,30000.0,135
Megalopolis,FANTASY,4.7,37000.0,138
Transformers One,FANTASY,7.6,53000.0,104
Inside Out 2,FANTASY,7.5,220000.0,96
Godzilla x Kong: The New Empire,FANTASY,6.0,123000.0,115
IF,FANTASY,6.4,59000.0,104
The Crow,FANTASY,4.7,36000.0,111
The Lord of the Rings: The War of the Rohirrim,FANTASY,6.3,32000.0,134
Red One,FANTASY,6.3,141000.0,123
Ghostbusters: Frozen Empire,FANTASY,6.1,95000.0,115
Kung Fu Panda 4,FANTASY,6.3,69000.0,94
The Watchers,FANTASY,5.7,58000.0,102
Damsel,FANTASY,6.1,110000.0,110
Uglies,FANTASY,4.7,33000.0,100
Tim Travers & the Time Travelers Paradox,FANTASY,6.8,295.0,95
The Wonderful Story of Henry Sugar and Three More,FANTASY,7.1,7400.0,88
The Garfield Movie,FANTASY,5.7,25000.0,101
The End,FANTASY,5.5,2200.0,148
Harold and the Purple Crayon,FANTASY,5.7,8600.0,90
Solo Leveling: ReAwakening,FANTASY,8.8,13000.0,121
Kalki 2898 AD,FANTASY,7.0,67000.0,180
Rebel Moon - Part Two: The Scargiver,FANTASY,5.3,60000.0,122
Girl Haunts Boy,FANTASY,6.3,3200.0,100
Spellbound,FANTASY,5.5,7700.0,109
Monster Summer,FANTASY,5.7,3900.0,97
Descendants: The Rise of Red,FANTASY,4.7,7200.0,91
Orion and the Dark,FANTASY,6.3,17000.0,93
The Master and Margarita,FANTASY,7.2,4800.0,156
The Tearsmith,FANTASY,5.2,13000.0,103
Dear Santa,FANTASY,5.4,19000.0,107
