MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
The Substance,HORROR,7.2,310000.0,141
Nosferatu,HORROR,7.2,204000.0,132
Heretic,HORROR,7.0,150000.0,111
Beetlejuice Beetlejuice,HORROR,6.6,152000.0,105
Speak No Evil,HORROR,6.8,106000.0,110
Trap,HORROR,5.8,143000.0,105
Alien: Romulus,HORROR,7.1,250000.0,119
Longlegs,HORROR,6.6,190000.0,101
Presence,HORROR,6.1,24000.0,84
Smile 2,HORROR,6.7,111000.0,127
Abigail,HORROR,6.5,99000.0,109
Terrifier 3,HORROR,6.3,50000.0,125
MaXXXine,HORROR,6.2,72000.0,103
Oddity,HORROR,6.7,45000.0,98
The Damned,HORROR,5.7,5100.0,89
Arcadian,HORROR,5.5,24000.0,92
Salem's Lot,HORROR,5.6,34000.0,114
Y2K,HORROR,4.8,16000.0,91
A Quiet Place: Day One,HORROR,6.3,153000.0,99
Kinds of Kindness,HORROR,6.5,60000.0,164
The Crow,HORROR,4.7,36000.0,111
Cuckoo,HORROR,5.7,28000.0,102
The Watchers,HORROR,5.7,58000.0,102
Azrael,HORROR,5.4,12000.0,86
The Shrouds,HORROR,6.0,2500.0,120
The Rule of Jenny Pen,HORROR,6.2,5400.0,104
The Last Breath,HORROR,4.7,2400.0,96
Don't Move,HORROR,5.8,40000.0,92
Immaculate,HORROR,5.8,54000.0,89
Nightbitch,HORROR,5.5,20000.0,99
The First Omen,HORROR,6.5,65000.0,119
Never Let Go,HORROR,5.4,16000.0,101
MadS,HORROR,6.4,8400.0,89
Bagman,HORROR,4.7,6000.0,93
Get Away,HORROR,5.3,7300.0,86
Apocalypse Z: The Beginning of the End,HORROR,6.1,20000.0,117
In a Violent Nature,HORROR,5.6,27000.0,94
Tarot,HORROR,4.8,32000.0,92
Hellboy: The Crooked Man,HORROR,4.5,14000.0,99
Time Cut,HORROR,5.0,19000.0,91
I Don't Understand You,HORROR,6.9,93.0,96
Werewolves,HORROR,4.4,7300.0,93
Frewaka,HORROR,6.2,1100.0,103
Night Swim,HORROR,4.7,28000.0,98
Exhuma,HORROR,6.9,24000.0,134
Dead Mail,HORROR,6.0,1700.0,106
Afraid,HORROR,5.2,14000.0,84
Apartment 7A,HORROR,5.9,17000.0,107
Rumours,HORROR,5.0,4900.0,104
The Deliverance,HORROR,5.1,23000.0,112
Conjuring the Cult,HORROR,4.8,908.0,93
Kryptic,HORROR,4.1,497.0,102
The Strangers: Chapter 1,HORROR,4.6,23000.0,91
A Sacrifice,HORROR,5.0,5600.0,94
Under Paris,HORROR,5.2,37000.0,104
Your Monster,HORROR,6.4,6000.0,103
Die Alone,HORROR,5.7,3600.0,90
The Beast Within,HORROR,4.3,5000.0,97
Lisa Frankenstein,HORROR,6.1,28000.0,101
Stream,HORROR,6.0,9400.0,123
Witchboard,HORROR,7.6,98.0,115
The Painted,HORROR,4.8,976.0,85
The Severed Sun,HORROR,6.4,67.0,80
The Platform 2,HORROR,4.9,41000.0,99
The Devil's Bath,HORROR,6.6,6600.0,121
Stree 2: Sarkate Ka Aatank,HORROR,6.9,43000.0,147
The Moogai,HORROR,5.4,309.0,86
The Ruse,HORROR,7.2,354.0,105
Night of the Zoopocalypse,HORROR,6.0,841.0,91
The Exorcism,HORROR,4.2,12000.0,95
Sumala,HORROR,5.8,1100.0,112
Lowlifes,HORROR,6.2,6600.0,90
Succubus,HORROR,4.6,1400.0,103
The Haunted Apartment: Miss K,HORROR,5.6,399.0,103
Blackwater Lane,HORROR,4.6,2200.0,108
Sting,HORROR,5.7,17000.0,91
Daddy's Head,HORROR,5.6,5300.0,92
Shell,HORROR,6.7,74.0,100
Espantaho,HORROR,4.8,147.0,90
Grafted,HORROR,5.6,2500.0,96
The Balconettes,HORROR,5.9,1200.0,104
V/H/S/Beyond,HORROR,5.8,9700.0,114
Lembayung,HORROR,5.8,759.0,123
Things Will Be Different,HORROR,5.2,2700.0,102
Humane,HORROR,5.5,7400.0,93
Dead Talents Society,HORROR,7.0,2300.0,111
The Mouse Trap,HORROR,2.4,3500.0,80
Pale Horse,HORROR,4.0,60.0,87
The Inheritance,HORROR,4.7,3000.0,85
Outside,HORROR,5.1,4700.0,142
Hold Your Breath,HORROR,5.3,8800.0,94
Imaginary,HORROR,4.7,17000.0,104
They Call Her Death,HORROR,5.4,174.0,92
Blood Star,HORROR,6.4,5600.0,97
Winnie-the-Pooh: Blood and Honey 2,HORROR,4.7,12000.0,93
The Front Room,HORROR,4.6,5600.0,94
A Desert,HORROR,6.3,197.0,103
