MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Anora,ROMANCE,7.5,196000.0,139
Babygirl,ROMANCE,5.9,61000.0,114
Wicked,ROMANCE,7.5,164000.0,160
We Live in Time,ROMANCE,7.0,54000.0,108
The Fall Guy,ROMANCE,6.8,224000.0,126
The Count of Monte-Cristo,ROMANCE,7.6,36000.0,178
It Ends with Us,ROMANCE,6.3,87000.0,130
Queer,ROMANCE,6.4,23000.0,137
Challengers,ROMANCE,7.0,157000.0,131
Jane Austen Wrecked My Life,ROMANCE,6.3,370.0,98
The Idea of You,ROMANCE,6.3,74000.0,115
Love Lies Bleeding,ROMANCE,6.6,58000.0,104
A Nice Indian Boy,ROMANCE,7.5,1500.0,96
On Swift Horses,ROMANCE,6.2,1300.0,119
The Crow,ROMANCE,4.7,36000.0,111
Fly Me to the Moon,ROMANCE,6.6,51000.0,132
Winter Spring Summer or Fall,ROMANCE,6.0,2600.0,97
My Old Ass,ROMANCE,6.9,40000.0,89
Ask Me What You Want,ROMANCE,3.8,1100.0,114
All We Imagine as Light,ROMANCE,7.1,10000.0,118
A Family Affair,ROMANCE,5.4,37000.0,111
Beating Hearts,ROMANCE,7.0,5600.0,166
Emmanuelle,ROMANCE,4.1,1800.0,107
Young Hearts,ROMANCE,8.0,5200.0,99
Culpa Tuya,ROMANCE,5.2,14000.0,118
Turtles All the Way Down,ROMANCE,6.6,7300.0,111
La cocina,ROMANCE,7.1,3400.0,139
Sidelined: The QB and Me,ROMANCE,5.9,3900.0,99
Upgraded,ROMANCE,6.1,30000.0,104
Bonjour Tristesse,ROMANCE,6.1,269.0,110
Lilies Not for Me,ROMANCE,7.1,532.0,99
Your Monster,ROMANCE,6.4,6000.0,103
Die Alone,ROMANCE,5.7,3600.0,90
Girl Haunts Boy,ROMANCE,6.3,3200.0,100
Lisa Frankenstein,ROMANCE,6.1,28000.0,101
Young Woman and the Sea,ROMANCE,7.5,17000.0,129
Boot Camp,ROMANCE,5.8,1200.0,94
Lonely Planet,ROMANCE,5.7,12000.0,94
Loveable,ROMANCE,7.7,2200.0,101
Love Me,ROMANCE,5.1,2700.0,91
The Master and Margarita,ROMANCE,7.2,4800.0,156
Grand Tour,ROMANCE,6.5,2000.0,129
The Tearsmith,ROMANCE,5.2,13000.0,103
Touch,ROMANCE,7.4,5700.0,121
Sex,ROMANCE,6.5,1300.0,118
F*** Marry Kill,ROMANCE,5.3,2700.0,97
Dreams (Sex Love),ROMANCE,7.6,625.0,110
Lick,ROMANCE,6.2,876.0,75
Killer Heat,ROMANCE,5.6,14000.0,95
Mon Potongo,ROMANCE,6.7,426.0,149
Mother of the Bride,ROMANCE,4.8,17000.0,88
Find Me Falling,ROMANCE,6.3,13000.0,93
Mor Chhainha Bhuinya 2,ROMANCE,8.5,100.0,160
Girls Will Be Girls,ROMANCE,7.1,2700.0,118
Grafted,ROMANCE,5.6,2500.0,96
Teri Baaton Mein Aisa Uljha Jiya,ROMANCE,6.2,54000.0,141
How to Date Billy Walsh,ROMANCE,5.2,4000.0,98
Role Play,ROMANCE,5.5,19000.0,100
Our Little Secret,ROMANCE,5.7,24000.0,101
Love,ROMANCE,7.3,471.0,119
My Favourite Cake,ROMANCE,7.4,7500.0,97
Someone Like You,ROMANCE,5.8,2200.0,118
The Greatest Hits,ROMANCE,6.2,7600.0,94
Irish Wish,ROMANCE,5.2,22000.0,93
Love Across Time,ROMANCE,7.1,715.0,60
My Future You,ROMANCE,7.2,220.0,109
The Astronaut Lovers,ROMANCE,7.1,827.0,116
Vulgar,ROMANCE,5.5,161.0,103
Daniela Forever,ROMANCE,6.1,230.0,113
High Tide,ROMANCE,6.7,625.0,101
Beautiful Wedding,ROMANCE,4.1,4300.0,100
Love in the Big City,ROMANCE,7.4,1600.0,118
Private Tutor,ROMANCE,4.9,208.0,65
You Are the Apple of My Eye,ROMANCE,7.0,3600.0,101
Through My Window: Looking at You,ROMANCE,5.4,5400.0,105
Romance on the Ranch,ROMANCE,6.8,371.0,88
Chosen Family,ROMANCE,4.8,480.0,88
Premalu,ROMANCE,7.8,20000.0,156
The Family Star,ROMANCE,5.4,5600.0,159
